run_id,round,chunk_size,overlap,top_k,retriever,embedding_model,reranker,query_transform,prompt,context_filter,final_score,answer_correctness,faithfulness,context_recall,context_precision,citation_accuracy,recall_at_k,mrr_at_k,avg_latency,avg_prompt_tokens,question_count,run_time_central,json_path
baseline,baseline,512,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,0.0,0.0,0.024,,2,2026-06-21 23:28:06 CDT,/home/adamm/projects/rag-research/results/experiments/baseline/baseline__chunk512-overlap50__topk5__dense__2026-06-21_23-28-06_CDT.json
baseline,baseline,512,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,98.33,90.06,0.006,,60,2026-06-21 23:40:16 CDT,/home/adamm/projects/rag-research/results/experiments/baseline/baseline__chunk512-overlap50__topk5__dense__2026-06-21_23-40-16_CDT.json
chunk_128,chunk_size,128,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,96.67,87.92,0.012,,60,2026-06-21 23:44:21 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_128/chunk_128__chunk128-overlap50__topk5__dense__2026-06-21_23-44-21_CDT.json
chunk_128,chunk_size,128,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,100.0,100.0,0.022,,3,2026-06-21 23:47:38 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_128/chunk_128__chunk128-overlap50__topk5__dense__2026-06-21_23-47-38_CDT.json
chunk_256,chunk_size,256,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,100.0,100.0,0.012,,3,2026-06-21 23:48:03 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_256/chunk_256__chunk256-overlap50__topk5__dense__2026-06-21_23-48-03_CDT.json
chunk_512,chunk_size,512,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,100.0,100.0,0.009,,3,2026-06-21 23:48:15 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_512/chunk_512__chunk512-overlap50__topk5__dense__2026-06-21_23-48-15_CDT.json
chunk_1024,chunk_size,1024,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,100.0,100.0,0.01,,3,2026-06-21 23:48:25 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_1024/chunk_1024__chunk1024-overlap50__topk5__dense__2026-06-21_23-48-25_CDT.json
chunk_2048,chunk_size,2048,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,100.0,100.0,0.006,,3,2026-06-21 23:48:34 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_2048/chunk_2048__chunk2048-overlap50__topk5__dense__2026-06-21_23-48-34_CDT.json
chunk_128,chunk_size,128,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,96.67,87.92,0.014,,60,2026-06-21 23:50:26 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_128/chunk_128__chunk128-overlap50__topk5__dense__2026-06-21_23-50-26_CDT.json
chunk_256,chunk_size,256,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,98.33,90.69,0.008,,60,2026-06-21 23:50:50 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_256/chunk_256__chunk256-overlap50__topk5__dense__2026-06-21_23-50-50_CDT.json
chunk_512,chunk_size,512,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,98.33,90.06,0.008,,60,2026-06-21 23:51:04 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_512/chunk_512__chunk512-overlap50__topk5__dense__2026-06-21_23-51-04_CDT.json
chunk_1024,chunk_size,1024,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,95.0,79.5,0.005,,60,2026-06-21 23:51:13 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_1024/chunk_1024__chunk1024-overlap50__topk5__dense__2026-06-21_23-51-13_CDT.json
chunk_2048,chunk_size,2048,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,,,,,,,93.33,78.11,0.005,,60,2026-06-21 23:51:20 CDT,/home/adamm/projects/rag-research/results/experiments/chunk_2048/chunk_2048__chunk2048-overlap50__topk5__dense__2026-06-21_23-51-20_CDT.json
baseline,baseline,512,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,15.93,12.3,20.22,20.87,21.33,2.67,98.33,90.06,2.264,2598.0,60,2026-06-21 23:56:13 CDT,/home/adamm/projects/rag-research/results/experiments/baseline/baseline__chunk512-overlap50__topk5__dense__2026-06-21_23-56-13_CDT.json
baseline,baseline,512,50,5,dense,BAAI/bge-small-en-v1.5,none,none,strict_context,none,15.89,14.75,20.18,17.42,18.62,3.33,98.33,90.06,1.906,2598.0,60,2026-06-22 00:05:14 CDT,/home/adamm/projects/rag-research/results/experiments/baseline/baseline__chunk512-overlap50__topk5__dense__2026-06-22_00-05-14_CDT.json
